Subsystem,Protein Association
Ala and Asp Metabolism,P00509
Ala and Asp Metabolism,P00805
Ala and Asp Metabolism,P00963
Ala and Asp Metabolism,P04693
Ala and Asp Metabolism,P0A6B4
Ala and Asp Metabolism,P0A6J5
Ala and Asp Metabolism,P0A959
Ala and Asp Metabolism,P0A962
Ala and Asp Metabolism,P0AC38
Ala and Asp Metabolism,P22106
Ala and Asp Metabolism,P29012
Ala and Asp Metabolism,P37595
Ala and Asp Metabolism,P77434
Alternate Carbon Metabolism,P00490
Alternate Carbon Metabolism,P00634
Alternate Carbon Metabolism,P00722
Alternate Carbon Metabolism,P00944
Alternate Carbon Metabolism,P00946
Alternate Carbon Metabolism,P05707
Alternate Carbon Metabolism,P05804
Alternate Carbon Metabolism,P05847
Alternate Carbon Metabolism,P06720
Alternate Carbon Metabolism,P07024
Alternate Carbon Metabolism,P07102
Alternate Carbon Metabolism,P08202
Alternate Carbon Metabolism,P08203
Alternate Carbon Metabolism,P08204
Alternate Carbon Metabolism,P08839
Alternate Carbon Metabolism,P09099
Alternate Carbon Metabolism,P09147
Alternate Carbon Metabolism,P09148
Alternate Carbon Metabolism,P09373
Alternate Carbon Metabolism,P09424
Alternate Carbon Metabolism,P0A6F3
Alternate Carbon Metabolism,P0A6K6
Alternate Carbon Metabolism,P0A6L0
Alternate Carbon Metabolism,P0A6L4
Alternate Carbon Metabolism,P0A6L7
Alternate Carbon Metabolism,P0A6S7
Alternate Carbon Metabolism,P0A6T3
Alternate Carbon Metabolism,P0A759
Alternate Carbon Metabolism,P0A761
Alternate Carbon Metabolism,P0A796
Alternate Carbon Metabolism,P0A8G3
Alternate Carbon Metabolism,P0A8Y5
Alternate Carbon Metabolism,P0A9C3
Alternate Carbon Metabolism,P0A9J6
Alternate Carbon Metabolism,P0A9M8
Alternate Carbon Metabolism,P0A9N4
Alternate Carbon Metabolism,P0A9P9
Alternate Carbon Metabolism,P0A9Q7
Alternate Carbon Metabolism,P0A9S1
Alternate Carbon Metabolism,P0A9S3
Alternate Carbon Metabolism,P0A9S5
Alternate Carbon Metabolism,P0A9V8
Alternate Carbon Metabolism,P0AA04
Alternate Carbon Metabolism,P0AB74
Alternate Carbon Metabolism,P0AB87
Alternate Carbon Metabolism,P0ABQ2
Alternate Carbon Metabolism,P0ABR5
Alternate Carbon Metabolism,P0ABR9
Alternate Carbon Metabolism,P0ABW0
Alternate Carbon Metabolism,P0AC00
Alternate Carbon Metabolism,P0AC35
Alternate Carbon Metabolism,P0ADG4
Alternate Carbon Metabolism,P0AE22
Alternate Carbon Metabolism,P0AEP9
Alternate Carbon Metabolism,P0AES2
Alternate Carbon Metabolism,P0AET8
Alternate Carbon Metabolism,P0AEW9
Alternate Carbon Metabolism,P0AF18
Alternate Carbon Metabolism,P0AF24
Alternate Carbon Metabolism,P0AFI0
Alternate Carbon Metabolism,P0AFP4
Alternate Carbon Metabolism,P0AG84
Alternate Carbon Metabolism,P0C7L2
Alternate Carbon Metabolism,P0C8J6
Alternate Carbon Metabolism,P0C8J8
Alternate Carbon Metabolism,P0C8K0
Alternate Carbon Metabolism,P0CI31
Alternate Carbon Metabolism,P11553
Alternate Carbon Metabolism,P11868
Alternate Carbon Metabolism,P11988
Alternate Carbon Metabolism,P13482
Alternate Carbon Metabolism,P14407
Alternate Carbon Metabolism,P15977
Alternate Carbon Metabolism,P16679
Alternate Carbon Metabolism,P16685
Alternate Carbon Metabolism,P16686
Alternate Carbon Metabolism,P16687
Alternate Carbon Metabolism,P16688
Alternate Carbon Metabolism,P16689
Alternate Carbon Metabolism,P16690
Alternate Carbon Metabolism,P16692
Alternate Carbon Metabolism,P17115
Alternate Carbon Metabolism,P17411
Alternate Carbon Metabolism,P19926
Alternate Carbon Metabolism,P21514
Alternate Carbon Metabolism,P21517
Alternate Carbon Metabolism,P22564
Alternate Carbon Metabolism,P23522
Alternate Carbon Metabolism,P23883
Alternate Carbon Metabolism,P23917
Alternate Carbon Metabolism,P24175
Alternate Carbon Metabolism,P24215
Alternate Carbon Metabolism,P24240
Alternate Carbon Metabolism,P25553
Alternate Carbon Metabolism,P25718
Alternate Carbon Metabolism,P26612
Alternate Carbon Metabolism,P26646
Alternate Carbon Metabolism,P27250
Alternate Carbon Metabolism,P27253
Alternate Carbon Metabolism,P27550
Alternate Carbon Metabolism,P27848
Alternate Carbon Metabolism,P28904
Alternate Carbon Metabolism,P30147
Alternate Carbon Metabolism,P30863
Alternate Carbon Metabolism,P31459
Alternate Carbon Metabolism,P31467
Alternate Carbon Metabolism,P31660
Alternate Carbon Metabolism,P31677
Alternate Carbon Metabolism,P31678
Alternate Carbon Metabolism,P32138
Alternate Carbon Metabolism,P32140
Alternate Carbon Metabolism,P32141
Alternate Carbon Metabolism,P32143
Alternate Carbon Metabolism,P32169
Alternate Carbon Metabolism,P32170
Alternate Carbon Metabolism,P32171
Alternate Carbon Metabolism,P32662
Alternate Carbon Metabolism,P32718
Alternate Carbon Metabolism,P32719
Alternate Carbon Metabolism,P33022
Alternate Carbon Metabolism,P33363
Alternate Carbon Metabolism,P36683
Alternate Carbon Metabolism,P36938
Alternate Carbon Metabolism,P37349
Alternate Carbon Metabolism,P37351
Alternate Carbon Metabolism,P37610
Alternate Carbon Metabolism,P37627
Alternate Carbon Metabolism,P37646
Alternate Carbon Metabolism,P37647
Alternate Carbon Metabolism,P37666
Alternate Carbon Metabolism,P37672
Alternate Carbon Metabolism,P37677
Alternate Carbon Metabolism,P37678
Alternate Carbon Metabolism,P37679
Alternate Carbon Metabolism,P37680
Alternate Carbon Metabolism,P37685
Alternate Carbon Metabolism,P37766
Alternate Carbon Metabolism,P37769
Alternate Carbon Metabolism,P37794
Alternate Carbon Metabolism,P37906
Alternate Carbon Metabolism,P38489
Alternate Carbon Metabolism,P39160
Alternate Carbon Metabolism,P39208
Alternate Carbon Metabolism,P39300
Alternate Carbon Metabolism,P39304
Alternate Carbon Metabolism,P39305
Alternate Carbon Metabolism,P39306
Alternate Carbon Metabolism,P39346
Alternate Carbon Metabolism,P39358
Alternate Carbon Metabolism,P39359
Alternate Carbon Metabolism,P39400
Alternate Carbon Metabolism,P39451
Alternate Carbon Metabolism,P39829
Alternate Carbon Metabolism,P41409
Alternate Carbon Metabolism,P42604
Alternate Carbon Metabolism,P42632
Alternate Carbon Metabolism,P43337
Alternate Carbon Metabolism,P45395
Alternate Carbon Metabolism,P45425
Alternate Carbon Metabolism,P45541
Alternate Carbon Metabolism,P45543
Alternate Carbon Metabolism,P46859
Alternate Carbon Metabolism,P46891
Alternate Carbon Metabolism,P51020
Alternate Carbon Metabolism,P52043
Alternate Carbon Metabolism,P52045
Alternate Carbon Metabolism,P52073
Alternate Carbon Metabolism,P52074
Alternate Carbon Metabolism,P54746
Alternate Carbon Metabolism,P62601
Alternate Carbon Metabolism,P66899
Alternate Carbon Metabolism,P68066
Alternate Carbon Metabolism,P69902
Alternate Carbon Metabolism,P69922
Alternate Carbon Metabolism,P75682
Alternate Carbon Metabolism,P75691
Alternate Carbon Metabolism,P75792
Alternate Carbon Metabolism,P75913
Alternate Carbon Metabolism,P76014
Alternate Carbon Metabolism,P76015
Alternate Carbon Metabolism,P76038
Alternate Carbon Metabolism,P76077
Alternate Carbon Metabolism,P76078
Alternate Carbon Metabolism,P76079
Alternate Carbon Metabolism,P76080
Alternate Carbon Metabolism,P76081
Alternate Carbon Metabolism,P76082
Alternate Carbon Metabolism,P76083
Alternate Carbon Metabolism,P76084
Alternate Carbon Metabolism,P76085
Alternate Carbon Metabolism,P76113
Alternate Carbon Metabolism,P76129
Alternate Carbon Metabolism,P76251
Alternate Carbon Metabolism,P76458
Alternate Carbon Metabolism,P76459
Alternate Carbon Metabolism,P76469
Alternate Carbon Metabolism,P76535
Alternate Carbon Metabolism,P77044
Alternate Carbon Metabolism,P77161
Alternate Carbon Metabolism,P77172
Alternate Carbon Metabolism,P77181
Alternate Carbon Metabolism,P77215
Alternate Carbon Metabolism,P77243
Alternate Carbon Metabolism,P77247
Alternate Carbon Metabolism,P77334
Alternate Carbon Metabolism,P77366
Alternate Carbon Metabolism,P77397
Alternate Carbon Metabolism,P77455
Alternate Carbon Metabolism,P77467
Alternate Carbon Metabolism,P77475
Alternate Carbon Metabolism,P77495
Alternate Carbon Metabolism,P77526
Alternate Carbon Metabolism,P77541
Alternate Carbon Metabolism,P77555
Alternate Carbon Metabolism,P77596
Alternate Carbon Metabolism,P77608
Alternate Carbon Metabolism,P77625
Alternate Carbon Metabolism,P77650
Alternate Carbon Metabolism,P77791
Alternate Carbon Metabolism,P78061
Alternate Carbon Metabolism,P80668
Alternate Carbon Metabolism,Q46806
Alternate Carbon Metabolism,Q46829
Alternate Carbon Metabolism,Q46845
Alternate Carbon Metabolism,Q46856
Alternate Carbon Metabolism,Q46857
Alternate Carbon Metabolism,Q46890
Alternate Carbon Metabolism,Q46915
Alternate Carbon Metabolism,Q47140
Alternate Carbon Metabolism,Q6BF16
Alternate Carbon Metabolism,Q6BF17
Anaplerotic Reactions,P00864
Anaplerotic Reactions,P08997
Anaplerotic Reactions,P0A7A9
Anaplerotic Reactions,P0A840
Anaplerotic Reactions,P0A9G6
Anaplerotic Reactions,P0AFL6
Anaplerotic Reactions,P22259
Anaplerotic Reactions,P26616
Anaplerotic Reactions,P37330
Anaplerotic Reactions,P76558
Arg and Pro Metabolism,P00968
Arg and Pro Metabolism,P04391
Arg and Pro Metabolism,P04825
Arg and Pro Metabolism,P06960
Arg and Pro Metabolism,P07004
Arg and Pro Metabolism,P09158
Arg and Pro Metabolism,P09546
Arg and Pro Metabolism,P0A6C5
Arg and Pro Metabolism,P0A6C8
Arg and Pro Metabolism,P0A6E4
Arg and Pro Metabolism,P0A6F1
Arg and Pro Metabolism,P0A7B5
Arg and Pro Metabolism,P0A7F6
Arg and Pro Metabolism,P0A951
Arg and Pro Metabolism,P0A9L8
Arg and Pro Metabolism,P0A9V8
Arg and Pro Metabolism,P0AE37
Arg and Pro Metabolism,P0AES0
Arg and Pro Metabolism,P0AF12
Arg and Pro Metabolism,P11446
Arg and Pro Metabolism,P11447
Arg and Pro Metabolism,P15288
Arg and Pro Metabolism,P18335
Arg and Pro Metabolism,P21169
Arg and Pro Metabolism,P21170
Arg and Pro Metabolism,P22256
Arg and Pro Metabolism,P23908
Arg and Pro Metabolism,P24169
Arg and Pro Metabolism,P25526
Arg and Pro Metabolism,P28629
Arg and Pro Metabolism,P37095
Arg and Pro Metabolism,P42588
Arg and Pro Metabolism,P50457
Arg and Pro Metabolism,P60651
Arg and Pro Metabolism,P68767
Arg and Pro Metabolism,P76149
Arg and Pro Metabolism,P76215
Arg and Pro Metabolism,P76216
Arg and Pro Metabolism,P76217
Arg and Pro Metabolism,P77581
Arg and Pro Metabolism,P77674
Cell Envelope Biosynthesis,P07862
Cell Envelope Biosynthesis,P08373
Cell Envelope Biosynthesis,P0A6A8
Cell Envelope Biosynthesis,P0A6J8
Cell Envelope Biosynthesis,P0A6Q3
Cell Envelope Biosynthesis,P0A6Q6
Cell Envelope Biosynthesis,P0A6W3
Cell Envelope Biosynthesis,P0A749
Cell Envelope Biosynthesis,P0A924
Cell Envelope Biosynthesis,P0A953
Cell Envelope Biosynthesis,P0AAI5
Cell Envelope Biosynthesis,P0AC78
Cell Envelope Biosynthesis,P0AC88
Cell Envelope Biosynthesis,P0ACC7
Cell Envelope Biosynthesis,P0ADG4
Cell Envelope Biosynthesis,P0AEJ6
Cell Envelope Biosynthesis,P0AEK2
Cell Envelope Biosynthesis,P0AEK4
Cell Envelope Biosynthesis,P0AEP3
Cell Envelope Biosynthesis,P0AGG2
Cell Envelope Biosynthesis,P11880
Cell Envelope Biosynthesis,P14900
Cell Envelope Biosynthesis,P17169
Cell Envelope Biosynthesis,P17443
Cell Envelope Biosynthesis,P17952
Cell Envelope Biosynthesis,P19636
Cell Envelope Biosynthesis,P21515
Cell Envelope Biosynthesis,P22188
Cell Envelope Biosynthesis,P22634
Cell Envelope Biosynthesis,P24174
Cell Envelope Biosynthesis,P27828
Cell Envelope Biosynthesis,P27829
Cell Envelope Biosynthesis,P27830
Cell Envelope Biosynthesis,P27832
Cell Envelope Biosynthesis,P27833
Cell Envelope Biosynthesis,P27836
Cell Envelope Biosynthesis,P31119
Cell Envelope Biosynthesis,P31120
Cell Envelope Biosynthesis,P31434
Cell Envelope Biosynthesis,P32055
Cell Envelope Biosynthesis,P32056
Cell Envelope Biosynthesis,P37128
Cell Envelope Biosynthesis,P37744
Cell Envelope Biosynthesis,P37745
Cell Envelope Biosynthesis,P37747
Cell Envelope Biosynthesis,P37759
Cell Envelope Biosynthesis,P37760
Cell Envelope Biosynthesis,P38135
Cell Envelope Biosynthesis,P56258
Cell Envelope Biosynthesis,P60932
Cell Envelope Biosynthesis,P61887
Cell Envelope Biosynthesis,P69432
Cell Envelope Biosynthesis,P69451
Cell Envelope Biosynthesis,P71241
Cell Envelope Biosynthesis,P75806
Cell Envelope Biosynthesis,P75905
Cell Envelope Biosynthesis,P76373
Cell Envelope Biosynthesis,Q46938
Citric Acid Cycle,P00363
Citric Acid Cycle,P05042
Citric Acid Cycle,P08200
Citric Acid Cycle,P0A6G5
Citric Acid Cycle,P0A836
Citric Acid Cycle,P0A8Q0
Citric Acid Cycle,P0A8Q3
Citric Acid Cycle,P0A9I1
Citric Acid Cycle,P0A9P0
Citric Acid Cycle,P0ABH7
Citric Acid Cycle,P0AC33
Citric Acid Cycle,P0AC47
Citric Acid Cycle,P0AFG3
Citric Acid Cycle,P0AFG6
Citric Acid Cycle,P0AGE9
Citric Acid Cycle,P14407
Citric Acid Cycle,P25516
Citric Acid Cycle,P33940
Citric Acid Cycle,P36683
Citric Acid Cycle,P61889
Citric Acid Cycle,P69330
Citric Acid Cycle,P75726
Cofactor and Prosthetic Group Biosynthesis,O32583
Cofactor and Prosthetic Group Biosynthesis,P00634
Cofactor and Prosthetic Group Biosynthesis,P00903
Cofactor and Prosthetic Group Biosynthesis,P04425
Cofactor and Prosthetic Group Biosynthesis,P05041
Cofactor and Prosthetic Group Biosynthesis,P05459
Cofactor and Prosthetic Group Biosynthesis,P05793
Cofactor and Prosthetic Group Biosynthesis,P06715
Cofactor and Prosthetic Group Biosynthesis,P06983
Cofactor and Prosthetic Group Biosynthesis,P08192
Cofactor and Prosthetic Group Biosynthesis,P08337
Cofactor and Prosthetic Group Biosynthesis,P09099
Cofactor and Prosthetic Group Biosynthesis,P09126
Cofactor and Prosthetic Group Biosynthesis,P0A6B7
Cofactor and Prosthetic Group Biosynthesis,P0A6G3
Cofactor and Prosthetic Group Biosynthesis,P0A6I3
Cofactor and Prosthetic Group Biosynthesis,P0A6I6
Cofactor and Prosthetic Group Biosynthesis,P0A6I9
Cofactor and Prosthetic Group Biosynthesis,P0A6Q6
Cofactor and Prosthetic Group Biosynthesis,P0A6R0
Cofactor and Prosthetic Group Biosynthesis,P0A6T5
Cofactor and Prosthetic Group Biosynthesis,P0A6W9
Cofactor and Prosthetic Group Biosynthesis,P0A6X1
Cofactor and Prosthetic Group Biosynthesis,P0A738
Cofactor and Prosthetic Group Biosynthesis,P0A752
Cofactor and Prosthetic Group Biosynthesis,P0A790
Cofactor and Prosthetic Group Biosynthesis,P0A794
Cofactor and Prosthetic Group Biosynthesis,P0A7B3
Cofactor and Prosthetic Group Biosynthesis,P0A7I7
Cofactor and Prosthetic Group Biosynthesis,P0A7J0
Cofactor and Prosthetic Group Biosynthesis,P0A825
Cofactor and Prosthetic Group Biosynthesis,P0A887
Cofactor and Prosthetic Group Biosynthesis,P0A953
Cofactor and Prosthetic Group Biosynthesis,P0A9B2
Cofactor and Prosthetic Group Biosynthesis,P0A9B6
Cofactor and Prosthetic Group Biosynthesis,P0A9H5
Cofactor and Prosthetic Group Biosynthesis,P0A9J4
Cofactor and Prosthetic Group Biosynthesis,P0AAB4
Cofactor and Prosthetic Group Biosynthesis,P0AAC8
Cofactor and Prosthetic Group Biosynthesis,P0ABQ0
Cofactor and Prosthetic Group Biosynthesis,P0ABQ4
Cofactor and Prosthetic Group Biosynthesis,P0ABU0
Cofactor and Prosthetic Group Biosynthesis,P0ABY4
Cofactor and Prosthetic Group Biosynthesis,P0AC13
Cofactor and Prosthetic Group Biosynthesis,P0AC16
Cofactor and Prosthetic Group Biosynthesis,P0AC19
Cofactor and Prosthetic Group Biosynthesis,P0ACB2
Cofactor and Prosthetic Group Biosynthesis,P0ACB4
Cofactor and Prosthetic Group Biosynthesis,P0ACD4
Cofactor and Prosthetic Group Biosynthesis,P0AD57
Cofactor and Prosthetic Group Biosynthesis,P0ADI4
Cofactor and Prosthetic Group Biosynthesis,P0ADP0
Cofactor and Prosthetic Group Biosynthesis,P0AE76
Cofactor and Prosthetic Group Biosynthesis,P0AEA5
Cofactor and Prosthetic Group Biosynthesis,P0AEA8
Cofactor and Prosthetic Group Biosynthesis,P0AEI6
Cofactor and Prosthetic Group Biosynthesis,P0AEJ2
Cofactor and Prosthetic Group Biosynthesis,P0AEK2
Cofactor and Prosthetic Group Biosynthesis,P0AEK4
Cofactor and Prosthetic Group Biosynthesis,P0AEN1
Cofactor and Prosthetic Group Biosynthesis,P0AF03
Cofactor and Prosthetic Group Biosynthesis,P0AF12
Cofactor and Prosthetic Group Biosynthesis,P0AF24
Cofactor and Prosthetic Group Biosynthesis,P0AFC0
Cofactor and Prosthetic Group Biosynthesis,P0AFI7
Cofactor and Prosthetic Group Biosynthesis,P0AFS3
Cofactor and Prosthetic Group Biosynthesis,P0AFU8
Cofactor and Prosthetic Group Biosynthesis,P0AG20
Cofactor and Prosthetic Group Biosynthesis,P0AG24
Cofactor and Prosthetic Group Biosynthesis,P0AG40
Cofactor and Prosthetic Group Biosynthesis,P0AGG0
Cofactor and Prosthetic Group Biosynthesis,P0AGK1
Cofactor and Prosthetic Group Biosynthesis,P10378
Cofactor and Prosthetic Group Biosynthesis,P10902
Cofactor and Prosthetic Group Biosynthesis,P11454
Cofactor and Prosthetic Group Biosynthesis,P11458
Cofactor and Prosthetic Group Biosynthesis,P12281
Cofactor and Prosthetic Group Biosynthesis,P12282
Cofactor and Prosthetic Group Biosynthesis,P12995
Cofactor and Prosthetic Group Biosynthesis,P12996
Cofactor and Prosthetic Group Biosynthesis,P12998
Cofactor and Prosthetic Group Biosynthesis,P12999
Cofactor and Prosthetic Group Biosynthesis,P13000
Cofactor and Prosthetic Group Biosynthesis,P13001
Cofactor and Prosthetic Group Biosynthesis,P15042
Cofactor and Prosthetic Group Biosynthesis,P15047
Cofactor and Prosthetic Group Biosynthesis,P17109
Cofactor and Prosthetic Group Biosynthesis,P17846
Cofactor and Prosthetic Group Biosynthesis,P17993
Cofactor and Prosthetic Group Biosynthesis,P18133
Cofactor and Prosthetic Group Biosynthesis,P18843
Cofactor and Prosthetic Group Biosynthesis,P18956
Cofactor and Prosthetic Group Biosynthesis,P19624
Cofactor and Prosthetic Group Biosynthesis,P19925
Cofactor and Prosthetic Group Biosynthesis,P20099
Cofactor and Prosthetic Group Biosynthesis,P21369
Cofactor and Prosthetic Group Biosynthesis,P21829
Cofactor and Prosthetic Group Biosynthesis,P22939
Cofactor and Prosthetic Group Biosynthesis,P23721
Cofactor and Prosthetic Group Biosynthesis,P23871
Cofactor and Prosthetic Group Biosynthesis,P23893
Cofactor and Prosthetic Group Biosynthesis,P24224
Cofactor and Prosthetic Group Biosynthesis,P25437
Cofactor and Prosthetic Group Biosynthesis,P25534
Cofactor and Prosthetic Group Biosynthesis,P25535
Cofactor and Prosthetic Group Biosynthesis,P25539
Cofactor and Prosthetic Group Biosynthesis,P25552
Cofactor and Prosthetic Group Biosynthesis,P26281
Cofactor and Prosthetic Group Biosynthesis,P26602
Cofactor and Prosthetic Group Biosynthesis,P27278
Cofactor and Prosthetic Group Biosynthesis,P27848
Cofactor and Prosthetic Group Biosynthesis,P28305
Cofactor and Prosthetic Group Biosynthesis,P29208
Cofactor and Prosthetic Group Biosynthesis,P29680
Cofactor and Prosthetic Group Biosynthesis,P30011
Cofactor and Prosthetic Group Biosynthesis,P30136
Cofactor and Prosthetic Group Biosynthesis,P30137
Cofactor and Prosthetic Group Biosynthesis,P30138
Cofactor and Prosthetic Group Biosynthesis,P30139
Cofactor and Prosthetic Group Biosynthesis,P30140
Cofactor and Prosthetic Group Biosynthesis,P30745
Cofactor and Prosthetic Group Biosynthesis,P30748
Cofactor and Prosthetic Group Biosynthesis,P30749
Cofactor and Prosthetic Group Biosynthesis,P31057
Cofactor and Prosthetic Group Biosynthesis,P31545
Cofactor and Prosthetic Group Biosynthesis,P31663
Cofactor and Prosthetic Group Biosynthesis,P32099
Cofactor and Prosthetic Group Biosynthesis,P32125
Cofactor and Prosthetic Group Biosynthesis,P32131
Cofactor and Prosthetic Group Biosynthesis,P32166
Cofactor and Prosthetic Group Biosynthesis,P32173
Cofactor and Prosthetic Group Biosynthesis,P32664
Cofactor and Prosthetic Group Biosynthesis,P33018
Cofactor and Prosthetic Group Biosynthesis,P36553
Cofactor and Prosthetic Group Biosynthesis,P36561
Cofactor and Prosthetic Group Biosynthesis,P36562
Cofactor and Prosthetic Group Biosynthesis,P37353
Cofactor and Prosthetic Group Biosynthesis,P37355
Cofactor and Prosthetic Group Biosynthesis,P37623
Cofactor and Prosthetic Group Biosynthesis,P38038
Cofactor and Prosthetic Group Biosynthesis,P38051
Cofactor and Prosthetic Group Biosynthesis,P40191
Cofactor and Prosthetic Group Biosynthesis,P45568
Cofactor and Prosthetic Group Biosynthesis,P46891
Cofactor and Prosthetic Group Biosynthesis,P51025
Cofactor and Prosthetic Group Biosynthesis,P52086
Cofactor and Prosthetic Group Biosynthesis,P60472
Cofactor and Prosthetic Group Biosynthesis,P60716
Cofactor and Prosthetic Group Biosynthesis,P60720
Cofactor and Prosthetic Group Biosynthesis,P61714
Cofactor and Prosthetic Group Biosynthesis,P61949
Cofactor and Prosthetic Group Biosynthesis,P62615
Cofactor and Prosthetic Group Biosynthesis,P62617
Cofactor and Prosthetic Group Biosynthesis,P62620
Cofactor and Prosthetic Group Biosynthesis,P62623
Cofactor and Prosthetic Group Biosynthesis,P65870
Cofactor and Prosthetic Group Biosynthesis,P69506
Cofactor and Prosthetic Group Biosynthesis,P75728
Cofactor and Prosthetic Group Biosynthesis,P75809
Cofactor and Prosthetic Group Biosynthesis,P75823
Cofactor and Prosthetic Group Biosynthesis,P75948
Cofactor and Prosthetic Group Biosynthesis,P76052
Cofactor and Prosthetic Group Biosynthesis,P76194
Cofactor and Prosthetic Group Biosynthesis,P76290
Cofactor and Prosthetic Group Biosynthesis,P76422
Cofactor and Prosthetic Group Biosynthesis,P76423
Cofactor and Prosthetic Group Biosynthesis,P76536
Cofactor and Prosthetic Group Biosynthesis,P77150
Cofactor and Prosthetic Group Biosynthesis,P77231
Cofactor and Prosthetic Group Biosynthesis,P77357
Cofactor and Prosthetic Group Biosynthesis,P77444
Cofactor and Prosthetic Group Biosynthesis,P77488
Cofactor and Prosthetic Group Biosynthesis,P77499
Cofactor and Prosthetic Group Biosynthesis,P77522
Cofactor and Prosthetic Group Biosynthesis,P77667
Cofactor and Prosthetic Group Biosynthesis,P77689
Cofactor and Prosthetic Group Biosynthesis,P77718
Cofactor and Prosthetic Group Biosynthesis,P77756
Cofactor and Prosthetic Group Biosynthesis,P77781
Cofactor and Prosthetic Group Biosynthesis,P80644
Cofactor and Prosthetic Group Biosynthesis,Q46810
Cofactor and Prosthetic Group Biosynthesis,Q46822
Cofactor and Prosthetic Group Biosynthesis,Q46893
Cofactor and Prosthetic Group Biosynthesis,Q46920
Cys Metabolism,P00509
Cys Metabolism,P04825
Cys Metabolism,P06721
Cys Metabolism,P0A6J1
Cys Metabolism,P0A853
Cys Metabolism,P0A9D4
Cys Metabolism,P0AA25
Cys Metabolism,P0ABK5
Cys Metabolism,P0AC59
Cys Metabolism,P0AC62
Cys Metabolism,P0AC69
Cys Metabolism,P0AGG4
Cys Metabolism,P15288
Cys Metabolism,P16703
Cys Metabolism,P17846
Cys Metabolism,P17854
Cys Metabolism,P21156
Cys Metabolism,P22255
Cys Metabolism,P23845
Cys Metabolism,P31142
Cys Metabolism,P37095
Cys Metabolism,P38038
Cys Metabolism,P68688
Cys Metabolism,P68767
Cys Metabolism,P76316
Cys Metabolism,P77444
Cys Metabolism,Q46925
Folate Metabolism,P0A6T9
Folate Metabolism,P0A825
Folate Metabolism,P0A9P0
Folate Metabolism,P0AC28
Folate Metabolism,P0AEZ1
Folate Metabolism,P24186
Folate Metabolism,P25553
Folate Metabolism,P27248
Folate Metabolism,P33195
Folate Metabolism,P37051
Glu Metabolism,P00370
Glu Metabolism,P00805
Glu Metabolism,P09831
Glu Metabolism,P09832
Glu Metabolism,P0A6W0
Glu Metabolism,P0A9C5
Glu Metabolism,P69908
Glu Metabolism,P69910
Glu Metabolism,P77454
Gly and Ser Metabolism,P00547
Gly and Ser Metabolism,P00634
Gly and Ser Metabolism,P00926
Gly and Ser Metabolism,P07913
Gly and Ser Metabolism,P0A825
Gly and Ser Metabolism,P0A853
Gly and Ser Metabolism,P0A9T0
Gly and Ser Metabolism,P0AB77
Gly and Ser Metabolism,P0AE22
Gly and Ser Metabolism,P0AGB0
Gly and Ser Metabolism,P0AGF6
Gly and Ser Metabolism,P16095
Gly and Ser Metabolism,P23524
Gly and Ser Metabolism,P23721
Gly and Ser Metabolism,P30744
Gly and Ser Metabolism,P37339
Gly and Ser Metabolism,P37686
Gly and Ser Metabolism,P39831
Gly and Ser Metabolism,P40874
Gly and Ser Metabolism,P42630
Gly and Ser Metabolism,P75823
Glycerophospholipid Metabolism,P06282
Glycerophospholipid Metabolism,P07000
Glycerophospholipid Metabolism,P09394
Glycerophospholipid Metabolism,P0A6A8
Glycerophospholipid Metabolism,P0A6H8
Glycerophospholipid Metabolism,P0A7A7
Glycerophospholipid Metabolism,P0A8K1
Glycerophospholipid Metabolism,P0A921
Glycerophospholipid Metabolism,P0A924
Glycerophospholipid Metabolism,P0A9H7
Glycerophospholipid Metabolism,P0A9S5
Glycerophospholipid Metabolism,P0AA84
Glycerophospholipid Metabolism,P0AB65
Glycerophospholipid Metabolism,P0ABF8
Glycerophospholipid Metabolism,P0ABG1
Glycerophospholipid Metabolism,P0ABN1
Glycerophospholipid Metabolism,P0ADA1
Glycerophospholipid Metabolism,P10908
Glycerophospholipid Metabolism,P18200
Glycerophospholipid Metabolism,P23830
Glycerophospholipid Metabolism,P26647
Glycerophospholipid Metabolism,P27247
Glycerophospholipid Metabolism,P31119
Glycerophospholipid Metabolism,P60782
Glycolysis/Gluconeogenesis,P00490
Glycolysis/Gluconeogenesis,P00634
Glycolysis/Gluconeogenesis,P06959
Glycolysis/Gluconeogenesis,P06999
Glycolysis/Gluconeogenesis,P07762
Glycolysis/Gluconeogenesis,P0A6P9
Glycolysis/Gluconeogenesis,P0A6T1
Glycolysis/Gluconeogenesis,P0A6U8
Glycolysis/Gluconeogenesis,P0A6V1
Glycolysis/Gluconeogenesis,P0A6V8
Glycolysis/Gluconeogenesis,P0A796
Glycolysis/Gluconeogenesis,P0A799
Glycolysis/Gluconeogenesis,P0A858
Glycolysis/Gluconeogenesis,P0A8Y3
Glycolysis/Gluconeogenesis,P0A8Y5
Glycolysis/Gluconeogenesis,P0A991
Glycolysis/Gluconeogenesis,P0A993
Glycolysis/Gluconeogenesis,P0A9B2
Glycolysis/Gluconeogenesis,P0A9C9
Glycolysis/Gluconeogenesis,P0A9P0
Glycolysis/Gluconeogenesis,P0AB71
Glycolysis/Gluconeogenesis,P0AC86
Glycolysis/Gluconeogenesis,P0AD61
Glycolysis/Gluconeogenesis,P0AFG8
Glycolysis/Gluconeogenesis,P15067
Glycolysis/Gluconeogenesis,P19926
