"Reaction ID","Subsystem"
"R_GNK_b3437","Alternate Carbon Metabolism"
"R_GNK_b4268","Alternate Carbon Metabolism"
"R_G6PDA","Alternate Carbon Metabolism"
"R_GUR1PPpp","Alternate Carbon Metabolism"
"R_GUI2","Alternate Carbon Metabolism"
"R_GUI1","Alternate Carbon Metabolism"
"R_GAPP","Alternate Carbon Metabolism"
"R_G2PPpp_b0383","Alternate Carbon Metabolism"
"R_G2PPpp_b4055","Alternate Carbon Metabolism"
"R_GLYCDx","Alternate Carbon Metabolism"
"R_GLYK","Alternate Carbon Metabolism"
"R_G2PP","Alternate Carbon Metabolism"
"R_G3PT_b0675","Alternate Carbon Metabolism"
"R_G3PT_b0822","Alternate Carbon Metabolism"
"R_G3PD2","Alternate Carbon Metabolism"
"R_GLYCTO2","Alternate Carbon Metabolism"
"R_GLYCTO3","Alternate Carbon Metabolism"
"R_GLYCTO4","Alternate Carbon Metabolism"
"R_HEX7","Alternate Carbon Metabolism"
"R_HEX4","Alternate Carbon Metabolism"
"R_HPACOAT","Alternate Carbon Metabolism"
"R_HPYRI","Alternate Carbon Metabolism"
"R_HPYRRx_b1033","Alternate Carbon Metabolism"
"R_HPYRRx_b3553","Alternate Carbon Metabolism"
"R_HPYRRy_b1033","Alternate Carbon Metabolism"
"R_HPYRRy_b3553","Alternate Carbon Metabolism"
"R_ARAI","Alternate Carbon Metabolism"
"R_ASCBPL","Alternate Carbon Metabolism"
"R_ARABDI","Alternate Carbon Metabolism"
"R_FCI","Alternate Carbon Metabolism"
"R_FCLK","Alternate Carbon Metabolism"
"R_FCLPA_b2738","Alternate Carbon Metabolism"
"R_FCLPA_b2800","Alternate Carbon Metabolism"
"R_GALCTLO","Alternate Carbon Metabolism"
"R_IDOND","Alternate Carbon Metabolism"
"R_IDOND2","Alternate Carbon Metabolism"
"R_RHMND","Alternate Carbon Metabolism"
"R_RMI","Alternate Carbon Metabolism"
"R_RBK_L1","Alternate Carbon Metabolism"
"R_RBP4E_b0061","Alternate Carbon Metabolism"
"R_RBP4E_b3583","Alternate Carbon Metabolism"
"R_RBP4E_b4198","Alternate Carbon Metabolism"
"R_XYLK2_b0063","Alternate Carbon Metabolism"
"R_XYLK2_b3580","Alternate Carbon Metabolism"
"R_X5PL3E_b3582","Alternate Carbon Metabolism"
"R_X5PL3E_b4197","Alternate Carbon Metabolism"
"R_TARTD","Alternate Carbon Metabolism"
"R_LCARS","Alternate Carbon Metabolism"
"R_LCARSyi","Alternate Carbon Metabolism"
"R_LCADi","Alternate Carbon Metabolism"
"R_LYXI","Alternate Carbon Metabolism"
"R_MALDDH","Alternate Carbon Metabolism"
"R_MLTG5","Alternate Carbon Metabolism"
"R_MLTG4","Alternate Carbon Metabolism"
"R_MLTG3","Alternate Carbon Metabolism"
"R_MLTG2","Alternate Carbon Metabolism"
"R_MLTG1","Alternate Carbon Metabolism"
"R_MLTP3","Alternate Carbon Metabolism"
"R_MLTP2","Alternate Carbon Metabolism"
"R_MLTP1","Alternate Carbon Metabolism"
"R_MALTATr","Alternate Carbon Metabolism"
"R_M1PD","Alternate Carbon Metabolism"
"R_MANAO","Alternate Carbon Metabolism"
"R_MN6PP_b0822","Alternate Carbon Metabolism"
"R_MN6PP_b1727","Alternate Carbon Metabolism"
"R_MN6PP_b3697","Alternate Carbon Metabolism"
"R_MN6PP_b3826","Alternate Carbon Metabolism"
"R_MAN6PI","Alternate Carbon Metabolism"
"R_MCITL2","Alternate Carbon Metabolism"
"R_MMCD","Alternate Carbon Metabolism"
"R_MMM","Alternate Carbon Metabolism"
"R_MC6PH","Alternate Carbon Metabolism"
"R_INOSTO","Alternate Carbon Metabolism"
"R_ACGAL1PPpp","Alternate Carbon Metabolism"
"R_ACGAM1PPpp","Alternate Carbon Metabolism"
"R_AMANK","Alternate Carbon Metabolism"
"R_AGDC","Alternate Carbon Metabolism"
"R_AMANAPEr","Alternate Carbon Metabolism"
"R_ACM6PH","Alternate Carbon Metabolism"
"R_ACNML","Alternate Carbon Metabolism"
"R_CURR","Alternate Carbon Metabolism"
"R_DHCURR","Alternate Carbon Metabolism"
"R_OXCDC","Alternate Carbon Metabolism"
"R_OXCOAHDH","Alternate Carbon Metabolism"
"R_PACCOAL","Alternate Carbon Metabolism"
"R_PACOAT","Alternate Carbon Metabolism"
"R_PHDA","Alternate Carbon Metabolism"
"R_PPPNDO","Alternate Carbon Metabolism"
"R_PTA2","Alternate Carbon Metabolism"
"R_PFK_2","Alternate Carbon Metabolism"
"R_PGMT_b0688","Alternate Carbon Metabolism"
"R_PGMT_b1317","Alternate Carbon Metabolism"
"R_PGMT_b2690","Alternate Carbon Metabolism"
"R_GNP_b2690","Alternate Carbon Metabolism"
"R_GNP_b3715","Alternate Carbon Metabolism"
"R_PGLYCP","Alternate Carbon Metabolism"
"R_PMANM","Alternate Carbon Metabolism"
"R_PPM","Alternate Carbon Metabolism"
"R_PPM2","Alternate Carbon Metabolism"
"R_PHYTSpp","Alternate Carbon Metabolism"
"R_PPDOy","Alternate Carbon Metabolism"
"R_PPCSCT","Alternate Carbon Metabolism"
"R_PCNO","Alternate Carbon Metabolism"
"R_PPAKr","Alternate Carbon Metabolism"
"R_RMK","Alternate Carbon Metabolism"
"R_RMPA","Alternate Carbon Metabolism"
"R_RBK","Alternate Carbon Metabolism"
"R_R1PK","Alternate Carbon Metabolism"
"R_R5PP_b0822","Alternate Carbon Metabolism"
"R_R5PP_b1727","Alternate Carbon Metabolism"
"R_R5PP_b2293","Alternate Carbon Metabolism"
"R_R5PP_b2690","Alternate Carbon Metabolism"
"R_R5PP_b3826","Alternate Carbon Metabolism"
"R_R5PPpp_b0383","Alternate Carbon Metabolism"
"R_R5PPpp_b4055","Alternate Carbon Metabolism"
"R_R15BPK","Alternate Carbon Metabolism"
"R_RU5PP","Alternate Carbon Metabolism"
"R_REPHACCOAI","Alternate Carbon Metabolism"
"R_PACCOAE","Alternate Carbon Metabolism"
"R_RPNTPH","Alternate Carbon Metabolism"
"R_SBTPD","Alternate Carbon Metabolism"
"R_SQVOSI","Alternate Carbon Metabolism"
"R_SQGH","Alternate Carbon Metabolism"
"R_TGBPA_b2095_b2096","Alternate Carbon Metabolism"
"R_TGBPA_b3132_b3137","Alternate Carbon Metabolism"
"R_TAGURr","Alternate Carbon Metabolism"
"R_TRSARr_b0509","Alternate Carbon Metabolism"
"R_TRSARr_b3125","Alternate Carbon Metabolism"
"R_TAUDO","Alternate Carbon Metabolism"
"R_TRE6PH","Alternate Carbon Metabolism"
"R_TRE6PP","Alternate Carbon Metabolism"
"R_UGLCURPpp","Alternate Carbon Metabolism"
"R_UACGALPpp","Alternate Carbon Metabolism"
"R_UACGAMPpp","Alternate Carbon Metabolism"
"R_UDPGALPpp","Alternate Carbon Metabolism"
"R_UDPG4E","Alternate Carbon Metabolism"
"R_UDPGPpp","Alternate Carbon Metabolism"
"R_UGLT","Alternate Carbon Metabolism"
"R_URDGLYCD","Alternate Carbon Metabolism"
"R_URIH_b0030","Alternate Carbon Metabolism"
"R_URIH_b0651","Alternate Carbon Metabolism"
"R_URIH_b2162","Alternate Carbon Metabolism"
"R_XYLI1","Alternate Carbon Metabolism"
"R_XYLI2","Alternate Carbon Metabolism"
"R_XYLK_b0063","Alternate Carbon Metabolism"
"R_XYLK_b3564","Alternate Carbon Metabolism"
"R_METGLCUR_fwd","Alternate Carbon Metabolism"
"R_13PPDH2_fwd","Alternate Carbon Metabolism"
"R_2DOXG6PP_b0446_fwd","Alternate Carbon Metabolism"
"R_2DOXG6PP_b1727_fwd","Alternate Carbon Metabolism"
"R_2DOXG6PP_b2293_fwd","Alternate Carbon Metabolism"
"R_2DOXG6PP_b3826_fwd","Alternate Carbon Metabolism"
"R_DDPGALA_fwd","Alternate Carbon Metabolism"
"R_2DDARAA_b0268_fwd","Alternate Carbon Metabolism"
"R_2DDARAA_b4298_fwd","Alternate Carbon Metabolism"
"R_DDGALK_fwd","Alternate Carbon Metabolism"
"R_DDGLK_fwd","Alternate Carbon Metabolism"
